trade_date,close,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,turnover_rate,volume_ratio,total_share,float_share,free_share,total_mv,circ_mv
20251028,7.6,76.92,66.8688,2.0618,1.1748,1.0463,0.3424,0.4477,1.2684,0.91,116572.23,116222.37,42921.6044,885948.948,883290.012
20251029,7.58,76.7176,66.6928,2.0564,1.1717,1.0436,0.3433,0.4489,1.5439,1.24,116572.23,116222.37,42921.6044,883617.5034,880965.5646
20251030,7.66,77.5273,67.3967,2.0781,1.1841,1.0546,0.3397,0.4442,1.9807,1.49,116572.23,116222.37,42921.6044,892943.2818,890263.3542
20251031,7.42,75.0982,67.7648,1.9824,1.147,0.9454,0.3507,0.4586,1.8981,1.28,116572.23,116222.37,42921.6044,864965.9466,862369.9854
20251103,7.47,75.6043,68.2214,1.9958,1.1547,0.9518,0.3483,0.4555,1.54,0.93,116572.23,116222.37,42921.6044,870794.5581,868181.1039
20251104,7.57,76.6164,69.1347,2.0225,1.1702,0.9645,0.3437,0.4495,1.5145,0.92,116572.23,116222.37,42921.6044,882451.7811,879803.3409
20251105,7.76,78.5394,70.8699,2.0733,1.1995,0.9887,0.3353,0.4385,3.0954,1.83,116572.23,116222.37,42921.6044,904600.5048,901885.5912
20251106,7.79,78.843,71.1439,2.0813,1.2042,0.9925,0.334,0.4368,2.7385,1.37,116572.23,116222.37,42921.6044,908097.6717,905372.2623
20251107,7.72,78.1345,70.5046,2.0626,1.1934,0.9836,0.337,0.4407,1.7132,0.79,116572.23,116222.37,42921.6044,899937.6156,897236.6964
20251110,8.49,85.9278,77.5368,2.2683,1.3124,1.0817,0.3065,0.4008,3.3828,1.6,116572.23,116222.37,42921.6044,989698.2327,986727.9213
20251111,8.33,84.3084,76.0756,2.2256,1.2877,1.0613,0.3124,0.4085,8.522,3.42,116572.23,116222.37,42921.6044,971046.6759,968132.3421
20251112,7.99,80.8672,72.9704,2.1347,1.2351,1.018,0.3257,0.4259,4.888,1.26,116572.23,116222.37,42921.6044,931412.1177,928616.7363
20251113,8.21,83.0939,74.9796,2.1935,1.2691,1.0461,0.3169,0.4144,5.7718,1.36,116572.23,116222.37,42921.6044,957058.0083,954185.6577
20251114,8.02,81.1709,73.2444,2.1427,1.2397,1.0218,0.3244,0.4243,3.1844,0.66,116572.23,116222.37,42921.6044,934909.2846,932103.4074
20251117,7.76,78.5394,70.8699,2.0733,1.1995,0.9887,0.3353,0.4385,3.1809,0.62,116572.23,116222.37,42921.6044,904600.5048,901885.5912
20251118,7.42,75.0982,67.7648,1.9824,1.147,0.9454,0.3507,0.4586,2.4813,0.49,116572.23,116222.37,42921.6044,864965.9466,862369.9854
20251119,7.59,76.8188,69.3174,2.0278,1.1733,0.9671,0.3428,0.4483,3.0529,0.78,116572.23,116222.37,42921.6044,884783.2257,882127.7883
20251120,7.57,76.6164,69.1347,2.0225,1.1702,0.9645,0.3437,0.4495,1.9077,0.54,116572.23,116222.37,42921.6044,882451.7811,879803.3409
20251121,7.15,72.3655,65.299,1.9103,1.1052,0.911,0.3639,0.4759,2.2001,0.8,116572.23,116222.37,42921.6044,833491.4445,830989.9455
